id,artist_name,album_name,year,title,number,text,language,genre,mood_pred,score
14,Nirvana,Nevermind,1991,Smells Like Teen Spirit,1,"Load up on guns, bring your friends
It's fun to lose and to pretend
She's overbored and self-assured
Oh no, I know, a dirty word
(Chorus:)Hello, hello, hello, how low ?
Hello, hello, hello, how low ?
Hello, hello, hello, how low ?
Hello, hello, hello...
With the lights out, it's less dangerous
Here we are now, entertain us
I feel stupid and contagious
Here we are now, entertain us
A mulatto, an albino, a mosquito
My libido
Yeah !
I'm worse at what I do best
And for that gift I feel blessed
Our little group has always been
And always will until the end
(Chorus)
And I forget just why I taste
Oh yeah, I guess it makes me smile
I found it hard, it's hard to find
Oh well, whatever, nevermind
(Chorus)
A denial (X9)
""Tu sens l'esprit adolescent""
In August of 1990, Kurt Cobain and Kathleen Hanna (of Bikini Kill) were hanging out on a hill near a teen pregnancy center in Olympia. The clinic, instead of providing abortions to expecting teenagers, was actually an pro-life center that encouraged girls to keep their babies, claiming they'd end up in hell otherwise.
Kathleen explains:Since Kurt and I were angry young feminists in the nineties, we decided that we were going to do a little public service that night. We drank our Canadian Club, and he watched out while I went across the street and wrote ""Fake Abortion Clinic Everyone"". I was kinda the pragmatic one and he was more creative so he went over and in 6 foot tall red letters wrote ""God Is King.""
Later that night, drunk out of their minds, the two returned to Kurt's motel, and while Kurt was sleeping, Kathleen grabbed a Sharpie marker and wrote ""Kurt Smells Like Teen Spirit"" all over the wall. This was a reference to Tobi Vail (drummer of Bikini Kill) who Kurt dated and used to wear Teen Spirit deodorant. Kathleen was implying that Tobi had marked Kurt with her scent.",en,Grunge,sadness,0.999871969
17,Linkin Park,Meteora,2003,Numb,13,"Numb
I'm tired of being what you want me to be,
Feeling so faithless, lost under the surface.
I don't what you're expecting of me,
Put under the pressure of walking in your shoes.
(Caught in the undertow, just caught in the undertow)
Every step that I take is another mistake to you.
(Caught in the undertow, just caught in the undertow)
I've become so numb, I can't feel you there.
Become so tired, so much more aware.
I'm becoming this, all I want to do
Is be more like me and be less like you.
Can't you see that you're smothering me,
Holding too tightly, afraid to lose control.
Cause everything that you thought I would be
Has fallen apart right in front of you.
(Caught in the undertow, just caught in the undertow)
Every step that I take is another mistake to you,
(Caught in the undertow, just caught in the undertow)
And every second I waste, is more that I can take.
I've become so numb, I can't feel you there.
Become so tired, so much more aware.
I'm becoming this, all I want to do
Is be more like me and be less like you.
And I know
I may end up failing too.
But I know
You were just like me, with someone disappointed in you.
I've become so numb, I can't feel you there.
Become so tired, so much more aware.
I'm becoming this, all I want to do
Is be more like me and be less like you.
I've become so numb, I can't feel you there.
(I'm tired of being what you want me to be,)
I've become so numb, I can't feel you there.
(I'm tired of being what you want me to be.)",en,Alternative,sadness,0.999859095
23,Rihanna,I Love Every Little Thing About You [Single],2003,I Love Every Little Thing About You,1,"Though they say you're not my friend
You've been here through thick and thin
And for that little boy I love ya
And all I wanna do is talk about you
I'm here to say, that I love you more each day
And I just wanna tell the world that I love you so
Only put me down because, I love you as much I do
They don't know what you've done for me
Made such a happy woman out of me
I'm here to say, that I love you every day
And I just wanna tell the world that I love you so
[Chorus] (x2)
I love, I love, I love, I love every little thing about you baby
Though they say that I am wrong
Cos my love is strong
And there's only one that I'll place above ya
And that's god that I place above ya
Boy I just wanna say, that I love you more each day
And I just wanna tell the world that I love you so
Some folks say that it's strange
My whole life you have changed
You saved all the pain the world's put on me
And all I wanna do is talk about ya
I'm here to say that I love you every day
And I'm telling everybody that I love you so
[Chorus] (x2)",en,Pop,joy,0.998827875
24,Bruce Springsteen,Chimes Of Freedom,1987,Be True,2,"Your scrapbook's filled with pictures of all your leading men
Well baby don't put my picture in there with them
Don't make us some little girl's dream that can't ever come true
That only serves to hurt and make you cry like you do
Well baby don't do it to me and I won't do it to you
You see all the romantic movies, you dream and take the boys home
But when the action fades you're left all alone
You deserve better than this, little girl, can't you see that you do
Do you need somebody to prove it to you ?
Well you prove it to me and I'll prove it to you
Now every night you go out looking for true love's satisfaction
But in the morning you end up settling for just lights, camera, action
And another cameo role with some bit player you're befriending
You're gonna go broken-hearted looking for that happy ending
Well girl you're gonna end up just another lonely ticket sold
Cryin' alone in the theater as the credits roll
You say I'll be like those other guys
Who filled your head with pretty lies
And dreams that can never come true
Well baby you be true to me
And I'll be true to you",en,Rock,love,0.999193251
27,Iron Maiden,The Number Of The Beast,1982,Invaders,1,"Long boats have been sighted the evidence of war has begun
Many Nordic fighting men their swords and shields all gleam in the sun
Call to arms defend yourselves get ready to stand and fight for your lives
Judgment day has come around so be prepared don't run stand your ground
[Chorus]
They're coming in from the sea, They've come the enemy
Beneath the blazing sun, The battle has to be won
Invaders... Pillaging ! Invaders... Looting !
Set ablaze the campfires alert the other men from inland
Warning must be given there's not enough men here for a stand
The Vikings are too many powerful to take on your own
We must have reinforcements we cannot fight his battle alone
[Chorus]
They're coming over the hill, They've coming to attack
They're coming in from the kill, There's no turning back
Invaders... Fighting ! Invaders... Marauding !
Axes grind and maces clash as wounded fighters fall to the ground
Severed limbs and fatal woundings bloody corpses lay all around
The smell of death and burning fleshe the battle weary fight to the end
The Saxons have been overpowered victims of the mighty Norsemen
[Chorus]
You'd better scatter and run, The battle's lost and not won
You'd better get away, To fight another day
Invaders... Raping ! Invaders... Plundering !",en,Metal,sadness,0.999871969
28,Bob Dylan,Bringing It All Back Home,1965,Subterrean Homesick Blues,1,"Johnny's in the basement
Mixing up the medicine
I'm on the pavement
Thinking about the government
The man in the trench coat
Badge out, laid off
Says he's got a bad cough
Wants to get it paid off
Look out kid
It's somethin' you did
God knows when
But you're doin' it again
You better duck down the alley way
Lookin' for a new friend
The man in the coon-skin cap
In the big pen
Wants eleven dollar bills
You only got ten
Maggie comes fleet foot
Face full of black soot
Talkin' that the heat put
Plants in the bed but
The phone's tapped anyway
Maggie says that many say
They must bust in early May
Orders from the D. A.
Look out kid
Don't matter what you did
Walk on your tip toes
Don't try ""No Doz""
Better stay away from those
That carry around a fire hose
Keep a clean nose
Watch the plain clothes
You don't need a weather man
To know which way the wind blows
Get sick, get well
Hang around a ink well
Ring bell, hard to tell
If anything is goin' to sell
Try hard, get barred
Get back, write braille
Get jailed, jump bail
Join the army, if you fail
Look out kid
You're gonna get hit
But users, cheaters
Six-time losers
Hang around the theaters
Girl by the whirlpool
Lookin' for a new fool
Don't follow leaders
Watch the parkin' meters
Ah get born, keep warm
Short pants, romance, learn to dance
Get dressed, get blessed
Try to be a success
Please her, please him, buy gifts
Don't steal, don't lift
Twenty years of schoolin'
And they put you on the day shift
Look out kid
They keep it all hid
Better jump down a manhole
Light yourself a candle
Don't wear sandals
Try to avoid the scandals
Don't wanna be a bum
You better chew gum
The pump don't work
'Cause the vandals took the handles",en,Rock,joy,0.999148607
29,Radiohead,OK Computer,1997,Airbag,1,"In the next world war
In a jackknifed juggernaught(1)
I am born again
In the neon sign
Scrolling up and down
I am born again
In an interstellar burst
I am back to save the universe
In a deep deep sleep
Of the innocent
I am born again
In a fast german car
I'm amazed that i survived
An airbag saved my life
In an interstellar burst
I am back to save the universe",en,Rock,surprise,0.999469817
32,Jeff Buckley,Jeff Buckley Jamais Endisqués,,We All Fall In Love Sometimes,,"We All Fall In Love Sometimes
Wise men say, it looks like rain today
It crackled on the speakers and
Trickled down the sleepy subway train
Heavy eyes could hardly hold us
Aching legs that often told us
Les jambes douloureuses nous le faisaient ressentir,
Its all worth saying
We all fall in love sometimes
The full moon's bright
And starlight filled the evening
We wrote it and I played it
Something happend its so strange this feeling
Naive notions that were childish
Simple tunes I tried to hide it when it comes
We all fall in love sometimes
Didn't we, Didn't we, shouldn't we, couldn't we
I'm not sure but sometimes we're so blind
Struggling through the day,
When even your best friends say
Dont you find
We all fall in love sometimes",en,Rock,sadness,0.95317173
35,Five Finger Death Punch,"The Wrong Side of Heaven and the Righteous Side of Hell, Vol. I",2013,Lift Me Up (Ft. Rob Halford),1,"It ain't no mystery
I'm all I have left
I'm pushing back and running you over
I've been thrown down run around
Beaten 'til I hit the ground
Telling you right now that it's over
There's no room for mistakes
All the parts are in place
Say what you will but say it to my face
Better back the fuck up
Better shut the fuck up
I'll do what I want and I'll never give up
I won't be broken
I won't be tortured
I won't be beaten down
I have the answer
I take the pressure
I turn it all around
Lift me up above this
The flames and the ashes
Lift me up and help me to fly away
Lift me up above this
The broken the empty
Lift me up and help me to fly away
Lift me up
I'm gonna change history
Enlighten the world
Teach them how to see through my eyes
I'm gonna lash back check that
Fatal as a heart attack
Stomp out all the ugliest lies
You can't convince me to change
We ain't on the same page
I've had my fill now there's nothing but rage
Best get out of my way
'Cause there's nothing to say
Is that all that you got?
Because I ain't got all day
I won't be broken
I won't be tortured
I won't be beaten down
I have the answer
I take the pressure
I turn it all around
Lift me up above this
The flames and the ashes
Lift me up and help me to fly away
Lift me up above this
The broken the empty
Lift me up and help me to fly away
Lift me up
I won't be broken
I won't be tortured
I won't be beaten down
I have the answer
I take the pressure
I turn it all around
Lift me up above this
The flames and the ashes
Lift me up and help me to fly away
Lift me up above this
The broken the empty
Lift me up and help me to fly away
Lift me up to fly away
Lift me up to fly away
Lift me up",en,Metal,sadness,0.965799749
37,Evanescence,Together Again [Single],2010,Together Again,1,"Never thought that I'd be leaving you today
So alone and wondering why I feel this way
So wide the world
Can love remember how to get me home to you
Someday
We'll be together again
All just a dream in the end
We'll be together again
So many fears were swimming around and around in my mind
Who would have dreamed the secrets we would find
I've found a world where love and dreams and darkness all collide
Maybe this time we can leave our broken world behind
We'll be together again
All just a dream in the end",en,Rock,sadness,0.99986434
38,Bruno Mars,24K Magic,2016,24K Magic,1,"Tonight
I just want to take you higher
Throw your hands up in the sky
Let's set this party off right
(Chorus:)Players, put yo' pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!
Pop pop, it's show time (Show time)
Show time (Show time)
Guess who's back again?
Oh they don't know? (Go on tell 'em)
Oh they don't know? (Go on tell 'em)
I bet they know soon as we walk in (Showin' up)
Wearing Cuban links (ya)
Designer minks (ya)
Inglewood's finest shoes (Whoop, whoop)
Don't look too hard
Might hurt ya'self
Known to give the color red the blues
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)
(Chorus:)Players only, come on
Put your pinky rings up to the moon
Girls, what y'all trying to do?
24 karat magic in the air
Head to toe so player
Uh, look out!
Second verse for the hustlas (hustlas)
Gangstas (gangstas)
Bad bitches and ya ugly ass friends (Haha)
Can I preach? (Uh oh) Can I preach? (Uh oh)
I gotta show 'em how a pimp get it in
First, take your sip (sip), do your dip (dip)
Spend your money like money ain't shit (Whoop, whoop)
We too fresh
Got to blame in on Jesus
Hashtag blessed
They ain't ready for me
Ooh shit, I'm a dangerous man with some money in my pocket
(Keep up)
So many pretty girls around me and they waking up the rocket
(Keep up)
Why you mad? Fix ya face
Ain't my fault y'all be jocking
(Keep up)
(Chorus)
(Wooh)Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Everywhere I go they be like
Ooh, so player ooh
Now, now, now
Watch me break it down like (Uh)
24 karat, 24 karat magic
What's that sound?
24 karat, 24 karat magic
Come on now
24 karat, 24 karat magic
Don't fight the feeling
Invite the feeling
(Chorus)
(24 karat magic, magic, magic) ",en,Rock,anger,0.99407059
41,Alpha Blondy,Cocody Rock!,1984,Cocody Rock,1,"Rockin' rocker, rockin' rocker from Zion I. C.
We're ready ready ready, ready to rock
We are the rockers from Zion Ivory Coast
We're ready ready ready, ready to rock
We're sayin' :
Coco, Coco, is Cocody Rock
Coco, Coco, is Cocody Rasta
Coco, Coco now, Cocody Rock
Coco, Coco, is Cocody Rasta
Somebody, somebody is working out the sound system
Say Jah Jah rythm, we movin' through space and time
Brother Tom fear ain't got nothin', he's beatin' down the bass line
Why don't you get on board the Zion Express
We're sayin' :
Coco, Coco, is Cocody Rock
Coco, Coco, is Cocody Rasta (Rasta live ! )
Coco, Coco now, Cocody Rock
Coco, Coco, is Cocody Rasta
Rockin' in, rockin' out, rockin' in, rockin' out, we're gonna rock you
In the night, in the day, we bound to rock your soul
We positively movin' up, oh, weavin' Jah time
No matter what you say or do Jah bound to rock you down
That's why we're sayin' :
Coco, Coco, is Cocody Rock
Coco, Coco, is Cocody Rasta
Coco, Coco now, Cocody Rock
Coco, Coco, is Cocody Rasta
Rockin' in, rockin' out, rockin' in, rockin' out, we're gonna rock you
In the night, in the day, we bound to rock your soul
We positively movin' up, oh, weavin' Jah time
No matter what you say or do Jah bound to rock you down
That's why we're sayin' :
Coco, Coco, is Cocody Rock
Coco, Coco, is Cocody Rasta
Coco, Coco now, Cocody Rock
Coco, Coco, is Cocody Rasta",en,Reggae,anger,0.971963882
43,Miley Cyrus,Charlie's Angels [BO] (2019),2019,Don’t Call Me Angel,3,"Boy, don't call me angel
You ain’t got me right
Don't call me angel
You can't pay my price
Tu ne peux payer mon prix
Ain’t from no Heaven
Yeah, you heard me right (Yeah, you heard me)
Even though you know we fly (Though you know we)
Don't call me angel
(Verse 1: Miley Cyrus)Uh, don't call me angel when I'm a mess
Don't call me angel when I get undressed
You know I, I don't like that, boy
Uh, I make my money, and I write the checks
So say my name with a little respect
All my girls successful, and you're just our guest
Do I really need to say it?
Do I need to say it again, yeah?
You better stop the sweet talk
And keep your pretty mouth shut
Boy, don't call me angel
You ain’t got me right
Don't call me angel
You can't pay my price
Tu ne peux payer mon prix
Ain’t from no Heaven
Yeah, you heard me right (Yeah, you heard me)
Even though you know we fly (Though you know we)
Don't call me angel
See you here with somebody
You sizin' up my body, oh yeah
Don't you know that I bite when the sun set? Yeah
So don’t you try come around me
Might work with her, but not me, oh yeah
Don't you know that I bite when the sun set?
Keep my name out your mouth
I know what you about
So keep my name out your mouth (Oh yeah)
Boy, don't call me angel
You ain’t got me right
Don't call me angel
You can't pay my price
Tu ne peux payer mon prix
Ain’t from no Heaven
Yeah, you heard me right (Yeah, you heard me)
Even though you know we fly (Though you know we)
Don't call me angel
(Bridge: Lana Del Rey & Ariana Grande)I appreciate the way you watch me, I can't lie
I drop it down, I pick it up, I back it off the county line
I fell from Heaven, now I'm living like a devil
You can't get me off your mind
I appreciate the way you want me, I can't lie (Can't lie)
I drop it low, I back it up, I know you wanna think you're mine
Baby, I totally get it, you can't guess so
You can't get me off your mind
We in it together, but don't call me angel
Boy, don't call me angel
You ain’t got me right
Don't call me angel
You can't pay my price
Tu ne peux payer mon prix
Ain’t from no Heaven
Yeah, you heard me right (Yeah, you heard me)
Even though you know we fly (Though you know we)
Don't call me angel
(Outro: Ariana Grande & All)(Yeah, you heard me)
Angel
Don't call me angel (Yeah, you heard me)
Don't call me angel",en,Pop,joy,0.997760296
46,Beyoncé,Dangerously In Love,2003,Crazy In Love (feat. Jay-Z),1,"(Jay-Z)
Yes !
It's so crazy right now !
Most incredibly, it's ya girl, Bee,
It's ya boy, young
(Beyoncé)
You ready ?
Uh oh, uh oh, uh oh, oh no no (x4)
(Jay-Z)
Yea, history in the making
Part 2, it's so crazy right now
(Beyoncé)
I look and stare so deep in your eyes
I touch on you more and more every time
When you leave I'm begging you not to go
Call your name two or three times in a row
Such a funny thing for me to try to explain
How I'm feeling and my pride is the one to blame
'Cuz I know I don't understand
Just how your love your doing no one else can
(Chorus)
Got me looking so crazy right now, your love's
Got me looking so crazy right now (in love)
Got me looking so crazy right now, (your touch)
Got me looking so crazy right now (your touch)
Got me hoping you'll page me right now, your kiss
Got me hoping you'll save me right now
Looking so crazy in love's,
Got me looking, got me looking so crazy in love
Uh oh, uh oh, uh oh, oh no no(x4)
When I talk to my friends so quietly
Who he think he is ? Look at what you did to me
Tennis shoes, don't even need to buy a new dress
If you ain't there ain't nobody else to impress
The way that you know what I thought I knew
It's the beat my heart skips when I'm with you
But I still don't understand
Just how the love your doing no one else can
(Chorus)
(Jay-Z)
Check it, let's go
Young Hov y'all know when the flow is loco,
Young B and the R-O-C, uh oh, (oh)
Ol'G, big homie, the one and only,
Stick bony, but the pocket is fat like Tony, Soprano, (oh no)
The ROC handle like Van Axel,
I shake phonies man, You can't get next to,
The genuine article I go I do not sing though,
I sling though, if anything I bling yo,
A star like Ringo, roll like ?  ?
Crazy bring ya whole set,
Jay Z in the range, crazy and deranged
They can't figure them out they like hey is he insane, (oh no)
Yes sir I'm cut from a different cloth
My texture is the best fur, of chinchilla
(Uh oh, uh oh, uh oh, oh no no)
Been dealing with chain smokers
But how you think I got the name Hova ?
(Uh oh, uh oh, uh oh, oh no no)
I been realer the game's over
(Uh oh, uh oh, uh oh, oh no no)
Fall back young, ever since the label changed over
(Uh oh, uh oh, uh oh, oh no no)
To platinum the game's been wrap, One !
(Bridge) (Beyoncé)
Got me looking, so crazy, my baby
I'm not myself, lately I'm foolish, I don't do this
I've been playing myself, baby I don't care
'Cuz your love's got the best of me
And baby you're making a fool of me
You got me sprung and I don't care who sees
'Cuz baby you got me, you got me, so crazy baby
Hey !
(Chorus)
(Chorus)",en,Inspirational,sadness,0.921666324
